AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
E09000022,Lambeth,Internal migration in,males,0,50.22,50.963,51.713,51.74,51.72,52.037,52.186,52.434,52.72,53.028,53.368,53.707,54.076,54.469,54.888,55.336,55.794,56.254,56.708,57.149,57.538,57.857,58.121,58.329,58.492
E09000022,Lambeth,Internal migration in,males,1,125.372,123.655,125.215,126.419,126.366,126.294,127.052,127.426,128.021,128.697,129.424,130.232,131.041,131.923,132.865,133.87,134.948,136.049,137.155,138.247,139.304,140.237,140.998,141.626,142.119
E09000022,Lambeth,Internal migration in,males,2,115.89,119.707,117.404,117.409,118.231,118.16,118.097,118.782,119.124,119.646,120.24,120.879,121.597,122.323,123.117,123.965,124.873,125.846,126.841,127.839,128.823,129.774,130.611,131.288,131.846
E09000022,Lambeth,Internal migration in,males,3,99.5,97.712,100.396,97.099,96.833,97.476,97.459,97.477,98.004,98.263,98.664,99.123,99.623,100.184,100.76,101.391,102.067,102.792,103.569,104.366,105.163,105.948,106.706,107.37,107.905
E09000022,Lambeth,Internal migration in,males,4,89.452,89.139,87.041,88.455,85.215,84.974,85.606,85.676,85.714,86.134,86.349,86.686,87.073,87.493,87.968,88.46,89.001,89.581,90.204,90.872,91.557,92.243,92.918,93.568,94.136
E09000022,Lambeth,Internal migration in,males,5,74.014,74.707,74.233,71.235,72.175,69.628,69.458,70.037,70.088,70.149,70.498,70.671,70.947,71.263,71.612,72.002,72.404,72.848,73.322,73.831,74.376,74.934,75.494,76.044,76.574
E09000022,Lambeth,Internal migration in,males,6,63.075,61.984,62.139,61.153,58.583,59.282,57.197,57.121,57.607,57.644,57.684,57.955,58.093,58.314,58.565,58.844,59.156,59.481,59.841,60.224,60.637,61.079,61.533,61.987,62.434
E09000022,Lambeth,Internal migration in,males,7,61.123,59.577,58.278,57.89,56.79,54.445,55.18,53.283,53.246,53.7,53.742,53.778,54.021,54.149,54.353,54.585,54.84,55.127,55.427,55.758,56.111,56.491,56.9,57.318,57.737
E09000022,Lambeth,Internal migration in,males,8,59.22,60.259,58.534,56.806,56.261,55.194,53.058,53.801,51.932,51.894,52.327,52.366,52.392,52.615,52.737,52.93,53.15,53.393,53.666,53.954,54.272,54.612,54.978,55.371,55.775
E09000022,Lambeth,Internal migration in,males,9,55.824,56.103,56.913,54.799,53.075,52.603,51.637,49.651,50.442,48.703,48.672,49.077,49.116,49.147,49.354,49.466,49.645,49.852,50.078,50.332,50.599,50.895,51.211,51.551,51.916
E09000022,Lambeth,Internal migration in,males,10,52.503,51.842,51.895,52.228,50.142,48.601,48.137,47.256,45.416,46.048,44.505,44.472,44.831,44.874,44.918,45.122,45.232,45.403,45.597,45.81,46.047,46.295,46.569,46.862,47.177
E09000022,Lambeth,Internal migration in,males,11,54.988,53.612,52.73,52.437,52.633,50.597,49.08,48.645,47.75,45.981,46.585,44.999,44.968,45.33,45.376,45.414,45.614,45.726,45.897,46.091,46.303,46.541,46.79,47.066,47.36
E09000022,Lambeth,Internal migration in,males,12,52.168,50.996,49.639,48.55,48.186,48.44,46.544,45.236,44.872,44.071,42.429,43.042,41.603,41.58,41.914,41.956,41.992,42.172,42.271,42.425,42.601,42.793,43.008,43.234,43.483
E09000022,Lambeth,Internal migration in,males,13,46.05,46.284,45.186,43.728,42.661,42.356,42.565,40.977,39.831,39.513,38.78,37.387,37.914,36.62,36.604,36.895,36.937,36.971,37.125,37.212,37.347,37.5,37.667,37.853,38.05
E09000022,Lambeth,Internal migration in,males,14,58.036,58.678,58.519,57.18,55.228,53.763,53.449,53.507,51.806,50.348,49.926,48.877,47.464,47.955,46.306,46.3,46.673,46.758,46.801,47.01,47.136,47.316,47.52,47.736,47.978
E09000022,Lambeth,Internal migration in,males,15,52.696,52.534,53.194,53.023,52.063,50.247,49.003,48.837,49.075,47.466,46.362,45.918,45.174,43.778,44.275,42.609,42.584,42.891,42.926,42.93,43.063,43.152,43.284,43.434,43.598
E09000022,Lambeth,Internal migration in,males,16,49.225,50.614,50.214,50.53,50.364,49.436,47.738,46.636,46.466,46.789,45.211,44.211,43.783,43.108,41.764,42.275,40.681,40.654,40.938,40.966,40.967,41.083,41.162,41.282,41.419
E09000022,Lambeth,Internal migration in,males,17,58.309,61.247,62.973,62.097,62.171,62.325,61.248,59.539,57.977,57.948,58.287,56.425,55.156,54.804,53.979,52.184,52.994,50.946,50.913,51.259,51.278,51.266,51.347,51.409,51.522
