LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003013,Lambeth 036A,E09000022,Lambeth,23019,7,31994,10,33624,10,26170,8,16892,6,12449,4,8059,3,6604,2
E01003014,Lambeth 036B,E09000022,Lambeth,8115,3,10808,4,9791,3,15422,5,12505,4,6101,2,4929,2,2246,1
E01003015,Lambeth 002A,E09000022,Lambeth,10215,4,7893,3,11213,4,20512,7,13641,5,16843,5,6651,2,3792,2
E01003016,Lambeth 036C,E09000022,Lambeth,17431,6,19989,6,20610,7,18248,6,13129,4,19731,6,10697,4,6578,2
E01003017,Lambeth 036D,E09000022,Lambeth,9069,3,12975,4,10367,4,16797,5,14636,5,7031,3,5478,2,1642,1
E01003018,Lambeth 020A,E09000022,Lambeth,15151,5,19831,6,23508,7,28181,9,17414,6,4699,2,15450,5,1101,1
E01003019,Lambeth 015A,E09000022,Lambeth,21253,7,19572,6,25366,8,31419,10,19051,6,16441,5,18147,6,4407,2
E01003020,Lambeth 016A,E09000022,Lambeth,13131,4,11187,4,16415,5,24759,8,12331,4,5495,2,16057,5,6327,2
E01003021,Lambeth 021A,E09000022,Lambeth,11114,4,11961,4,15381,5,13326,4,7164,3,13260,4,7503,3,7270,3
E01003022,Lambeth 021B,E09000022,Lambeth,15166,5,13644,5,16243,5,27665,9,11437,4,13601,5,11279,4,7843,3
E01003023,Lambeth 021C,E09000022,Lambeth,15857,5,14168,5,19940,6,21775,7,18217,6,11478,4,13071,4,4689,2
E01003024,Lambeth 021D,E09000022,Lambeth,9729,3,8073,3,11266,4,17508,6,15741,5,8094,3,5479,2,6311,2
E01003025,Lambeth 021E,E09000022,Lambeth,13405,4,12572,4,14146,5,20273,7,16184,5,17454,6,6551,2,5715,2
E01003026,Lambeth 019A,E09000022,Lambeth,21112,7,25914,8,30736,10,26516,8,22224,7,12613,4,18667,6,1464,1
E01003027,Lambeth 019B,E09000022,Lambeth,30345,9,32998,10,33356,10,33615,10,29284,9,27005,9,29725,9,4537,2
E01003028,Lambeth 019C,E09000022,Lambeth,21055,7,19787,6,20308,7,30592,10,15458,5,18610,6,21077,7,7404,3
E01003029,Lambeth 017A,E09000022,Lambeth,19500,6,17779,6,19754,6,28166,9,18585,6,18621,6,10250,4,9050,3
E01003030,Lambeth 019D,E09000022,Lambeth,14735,5,19248,6,25158,8,26000,8,10731,4,5547,2,19295,6,1235,1
E01003031,Lambeth 023A,E09000022,Lambeth,13236,4,11660,4,15495,5,23394,7,10925,4,15317,5,11995,4,4351,2
E01003032,Lambeth 017B,E09000022,Lambeth,10700,4,8700,3,10478,4,26128,8,16280,5,8725,3,9655,3,3756,2
E01003033,Lambeth 019E,E09000022,Lambeth,23846,8,19957,6,27805,9,27613,9,26789,8,26434,8,16151,5,5095,2
E01003034,Lambeth 012A,E09000022,Lambeth,11675,4,10295,4,14365,5,22453,7,12088,4,17945,6,8717,3,2439,1
E01003035,Lambeth 012B,E09000022,Lambeth,10771,4,15351,5,19389,6,21981,7,13712,5,1853,1,10527,4,1233,1
E01003036,Lambeth 012C,E09000022,Lambeth,17143,6,18450,6,19712,6,26974,8,16176,5,19134,6,11418,4,2967,1
E01003037,Lambeth 013A,E09000022,Lambeth,5370,2,7609,3,7023,3,14500,5,2988,1,2234,1,6401,2,7015,3
E01003038,Lambeth 013B,E09000022,Lambeth,26551,8,29885,9,31645,10,32120,10,30090,9,21121,7,16834,5,3148,1
E01003039,Lambeth 013C,E09000022,Lambeth,25105,8,28683,9,30308,9,32088,10,27783,9,11723,4,15850,5,4942,2
E01003040,Lambeth 013D,E09000022,Lambeth,17134,6,20061,6,23189,7,29618,9,20184,6,14427,5,8505,3,1675,1
E01003041,Lambeth 017C,E09000022,Lambeth,6527,2,9301,3,12299,4,21076,7,5081,2,1436,1,7236,3,1696,1
E01003042,Lambeth 013E,E09000022,Lambeth,12399,4,11275,4,13194,4,24226,8,12395,4,14051,5,6117,2,6775,3
E01003043,Lambeth 018A,E09000022,Lambeth,15405,5,14920,5,16944,6,27953,9,12518,4,14487,5,21028,7,2689,1
E01003044,Lambeth 018B,E09000022,Lambeth,6053,2,3951,2,4364,2,14285,5,4619,2,13374,4,10233,4,15994,5
E01003045,Lambeth 011A,E09000022,Lambeth,6770,3,5266,2,5749,2,11307,4,11748,4,9023,3,5706,2,10673,4
E01003046,Lambeth 009A,E09000022,Lambeth,5959,2,4185,2,6298,2,11713,4,12004,4,10769,4,3652,2,6153,2
E01003047,Lambeth 011B,E09000022,Lambeth,5890,2,7976,3,11153,4,13801,5,11550,4,123,1,11693,4,1687,1
E01003048,Lambeth 009B,E09000022,Lambeth,5433,2,4028,2,4783,2,9430,3,10562,4,7382,3,7227,3,7594,3
E01003049,Lambeth 011C,E09000022,Lambeth,6813,3,4814,2,8125,3,10495,4,10284,4,5203,2,12816,4,6352,2
E01003050,Lambeth 016B,E09000022,Lambeth,11409,4,13316,4,17899,6,23706,8,14122,5,2698,1,16801,5,1359,1
E01003051,Lambeth 018C,E09000022,Lambeth,9578,3,11248,4,11176,4,12806,4,12638,4,3222,1,12502,4,5875,2
E01003052,Lambeth 016C,E09000022,Lambeth,7564,3,6915,3,8458,3,13259,4,9034,3,5842,2,7210,3,8029,3
E01003053,Lambeth 015B,E09000022,Lambeth,17851,6,20360,7,24471,8,29982,9,18060,6,10337,4,20037,6,1342,1
E01003054,Lambeth 015C,E09000022,Lambeth,21299,7,26742,8,30923,10,25102,8,21892,7,14039,5,17288,6,1598,1
