LSOA21CD,LSOA21NM,LSOA21NMW,WD22CD,WD22NM,WD22NMW,LAD22CD,LAD22NM,LAD22NMW,ObjectId
E01003929,Southwark 002B,,E05011095,Borough & Bankside,,E09000028,Southwark,,18015
E01033868,Southwark 002G,,E05011095,Borough & Bankside,,E09000028,Southwark,,18018
E01004005,Southwark 023D,,E05011108,Nunhead & Queen's Road,,E09000028,Southwark,,18020
E01032583,Southwark 034D,,E05011095,Borough & Bankside,,E09000028,Southwark,,18023
E01004000,Southwark 026A,,E05011108,Nunhead & Queen's Road,,E09000028,Southwark,,18025
E01003935,Southwark 002D,,E05011095,Borough & Bankside,,E09000028,Southwark,,18029
E01033881,Southwark 016F,,E05011102,Faraday,,E09000028,Southwark,,18030
E01003912,Southwark 019A,,E05011115,St Giles,,E09000028,Southwark,,18032
E01003972,Southwark 016D,,E05011102,Faraday,,E09000028,Southwark,,18035
E01003969,Southwark 017B,,E05011102,Faraday,,E09000028,Southwark,,18037
E01033878,Southwark 015F,,E05011102,Faraday,,E09000028,Southwark,,18039
E01033879,Southwark 015G,,E05011102,Faraday,,E09000028,Southwark,,18041
E01003952,Southwark 030A,,E05011103,Goose Green,,E09000028,Southwark,,18043
E01003911,Southwark 020A,,E05011115,St Giles,,E09000028,Southwark,,18044
E01003914,Southwark 024B,,E05011115,St Giles,,E09000028,Southwark,,18047
E01004071,Southwark 030D,,E05011103,Goose Green,,E09000028,Southwark,,18049
E01003934,Southwark 002C,,E05011095,Borough & Bankside,,E09000028,Southwark,,18051
E01004006,Southwark 023E,,E05011108,Nunhead & Queen's Road,,E09000028,Southwark,,18052
E01004001,Southwark 026B,,E05011108,Nunhead & Queen's Road,,E09000028,Southwark,,18054
E01004003,Southwark 023B,,E05011108,Nunhead & Queen's Road,,E09000028,Southwark,,18057
E01003953,Southwark 028A,,E05011103,Goose Green,,E09000028,Southwark,,18058
E01003915,Southwark 024C,,E05011115,St Giles,,E09000028,Southwark,,18059
E01033867,Southwark 002F,,E05011095,Borough & Bankside,,E09000028,Southwark,,18061
E01033883,Southwark 022H,,E05011108,Nunhead & Queen's Road,,E09000028,Southwark,,18064
E01004021,Southwark 028D,,E05011103,Goose Green,,E09000028,Southwark,,18066
E01003917,Southwark 020C,,E05011115,St Giles,,E09000028,Southwark,,18067
E01003920,Southwark 021B,,E05011096,Camberwell Green,,E09000028,Southwark,,18069
E01003984,Southwark 023A,,E05011108,Nunhead & Queen's Road,,E09000028,Southwark,,18072
E01003954,Southwark 030B,,E05011103,Goose Green,,E09000028,Southwark,,18074
E01003916,Southwark 020B,,E05011115,St Giles,,E09000028,Southwark,,18075
E01033880,Southwark 015H,,E05011109,Old Kent Road,,E09000028,Southwark,,18083
E01003918,Southwark 020D,,E05011096,Camberwell Green,,E09000028,Southwark,,18084
E01003955,Southwark 028B,,E05011103,Goose Green,,E09000028,Southwark,,18085
E01003913,Southwark 024A,,E05011115,St Giles,,E09000028,Southwark,,18086
E01003921,Southwark 021C,,E05011096,Camberwell Green,,E09000028,Southwark,,18087
E01004038,Southwark 010C,,E05011116,South Bermondsey,,E09000028,Southwark,,18088
E01003919,Southwark 021A,,E05011096,Camberwell Green,,E09000028,Southwark,,18089
E01004037,Southwark 010B,,E05011116,South Bermondsey,,E09000028,Southwark,,18090
E01003956,Southwark 030C,,E05011103,Goose Green,,E09000028,Southwark,,18091
E01003922,Southwark 021D,,E05011096,Camberwell Green,,E09000028,Southwark,,18092
E01003987,Southwark 011B,,E05011109,Old Kent Road,,E09000028,Southwark,,18093
E01003975,Southwark 004A,,E05011116,South Bermondsey,,E09000028,Southwark,,18094
E01003979,Southwark 006E,,E05011104,London Bridge & West Bermondsey,,E09000028,Southwark,,18097
E01003923,Southwark 017A,,E05011096,Camberwell Green,,E09000028,Southwark,,18099
E01003990,Southwark 018D,,E05011109,Old Kent Road,,E09000028,Southwark,,18101
E01003977,Southwark 010A,,E05011116,South Bermondsey,,E09000028,Southwark,,18102
E01003976,Southwark 036D,,E05011104,London Bridge & West Bermondsey,,E09000028,Southwark,,18105
E01003925,Southwark 020E,,E05011096,Camberwell Green,,E09000028,Southwark,,18107
